monkey_id lid pid lid_pid age_at_sampling within.age mean.age individual_sex reads unique non_unique meth_cpg unmeth_cpg reads_msp1 perc_chg_meth perc_chh_meth chrX_ratio prep_date parentName grantparent_tissueType date_birth processing_timestamp university perc_unique n
76 33V LID_104037 PID_10123 LID_104037_PID_10123 7.1 -5.36 12.46 F 13966325 6718574 3150134 10500297 10635518 13236280 0.6% 0.4% 0.806241 2019-08-28 DID_1001325 whole_blood 2004-01-07 2011-02-14 uw 0.481055252544961 2
77 15E LID_104039 PID_10123 LID_104039_PID_10123 16.04 -1.5 17.54 F 18558211 8509453 4150723 13202846 15132307 17703897 0.6% 0.4% 0.79173 2019-08-28 DID_1001339 whole_blood 1995-01-30 2011-02-14 uw 0.458527656572069 2
78 30Z LID_104049 PID_10123 LID_104049_PID_10123 6.3 -5.375 11.675 M 11135842 4750090 2689791 7006841 9703179 10733639 0.5% 0.4% 0.472248 2019-08-28 DID_1001514 whole_blood 2003-10-16 2010-02-01 uw 0.426558674234063 2
79 5B2 LID_104057 PID_10123 LID_104057_PID_10123 4.13 -7.53333333333333 11.6633333333333 M 14167951 5679243 3811888 8220815 11213943 13756131 0.6% 0.4% 0.483081 2019-08-28 DID_1001523 whole_blood 2005-12-03 2010-01-21 uw 0.400851400460095 3
80 04I LID_104058 PID_10123 LID_104058_PID_10123 13.17 -2.385 15.555 M 19688322 8117311 4594260 11659951 17605752 19066125 0.5% 0.4% 0.477749 2019-08-28 DID_1001361 whole_blood 1997-12-09 2011-02-08 uw 0.412290646201337 2
81 44V LID_104060 PID_10123 LID_104060_PID_10123 6.93 -3.93 10.86 F 16663485 7029380 3970154 10023337 14930973 15947217 0.5% 0.3% 0.773226 2019-08-28 DID_1001297 whole_blood 2004-02-13 2011-01-20 uw 0.421843329891676 2
82 93O LID_104063 PID_10123 LID_104063_PID_10123 10.15 -4.23 14.38 F 9839374 4282996 2346640 6278140 8253727 9461520 0.6% 0.4% 0.779782 2019-08-28 DID_1001304 whole_blood 2000-12-02 2011-01-27 uw 0.43529151346417 3
83 73S LID_104064 PID_10123 LID_104064_PID_10123 7.16 -4.88 12.04 M 15241039 6683167 3493134 9467275 14401180 14507826 0.5% 0.4% 0.48238 2019-08-28 DID_1001486 whole_blood 2002-11-23 2010-01-20 uw 0.438498123389094 2
84 04Z LID_104067 PID_10123 LID_104067_PID_10123 7 -6.16333333333333 13.1633333333333 M 16946958 7178018 4258604 10430077 15239504 16403832 0.6% 0.4% 0.480724 2019-08-28 DID_1001384 whole_blood 2004-02-10 2011-02-09 uw 0.42355790343022 3
85 25P LID_104077 PID_10123 LID_104077_PID_10123 10.14 -1.51 11.65 F 15084007 6240441 3961543 9062286 13468828 14568368 0.6% 0.4% 0.754729 2019-08-28 DID_1001264 whole_blood 2000-12-08 2011-01-27 uw 0.413712417396783 2
86 30C LID_104080 PID_10123 LID_104080_PID_10123 16 -2.86666666666667 18.8666666666667 M 18460977 7755824 4751161 10742092 15979827 17834805 0.6% 0.4% 0.477867 2019-08-28 DID_1001504 whole_blood 1994-01-21 2010-01-20 uw 0.420119910230103 3
87 21H LID_104083 PID_10123 LID_104083_PID_10123 13.87 -1.505 15.375 F 17407973 7158617 4610622 10254064 14218106 16801489 0.6% 0.4% 0.77864 2019-08-28 DID_1001391 whole_blood 1997-03-28 2011-02-10 uw 0.411226338643793 2
88 4C3 LID_104085 PID_10123 LID_104085_PID_10123 5.09 -6.85 11.94 M 13863917 6192111 3140425 8895340 13116827 13193811 0.6% 0.4% 0.468749 2019-08-28 DID_1001273 whole_blood 2005-12-23 2011-01-24 uw 0.446635031066617 3
89 84J LID_104087 PID_10123 LID_104087_PID_10123 12.05 -2.41 14.46 M 17238839 7725883 3895121 11737832 17269119 16667523 0.6% 0.4% 0.467505 2019-08-28 DID_1001305 whole_blood 1999-01-04 2011-01-24 uw 0.448167246065701 2
90 90P LID_104094 PID_10123 LID_104094_PID_10123 9.24 -5.345 14.585 F 16978953 6875252 4843725 9256390 13220405 16148541 0.5% 0.3% 0.767825 2019-08-28 DID_1001338 whole_blood 2001-11-12 2011-02-09 uw 0.404927912810643 2
91 73V LID_105269 PID_10123 LID_105269_PID_10123 6.24 -4.58666666666667 10.8266666666667 M 11100956 5408275 2572536 6984650 7872442 9283223 0.6% 0.4% 0.491292 2019-09-23 DID_1001510 whole_blood 2003-11-04 2010-02-01 uw 0.487190022192683 3
92 61R LID_105270 PID_10123 LID_105270_PID_10123 8.13 -4.62333333333333 12.7533333333333 M 8573715 3884741 2036528 5754236 6944574 8139005 0.6% 0.4% 0.476201 2019-09-23 DID_1001517 whole_blood 2001-12-15 2010-02-01 uw 0.453098919196638 3
93 96B LID_105276 PID_10123 LID_105276_PID_10123 16.04 -4.23333333333333 20.2733333333333 M 15133045 8498235 2877227 12815892 9474919 13049711 0.7% 0.5% 0.532288 2019-09-23 DID_1001532 whole_blood 1994-01-06 2010-01-20 uw 0.561568078334532 3
94 8A9 LID_105279 PID_10123 LID_105279_PID_10123 5.3 -5.9 11.2 M 12289864 5691266 2852714 8490705 8685235 11446996 0.7% 0.5% 0.508853 2019-09-23 DID_1001541 whole_blood 2004-10-06 2010-01-25 uw 0.46308616596571 2
95 98T LID_105280 PID_10123 LID_105280_PID_10123 6.05 -4.89333333333333 10.9433333333333 F 8232110 3874666 1788280 5614127 6746316 7419509 0.6% 0.4% 0.794983 2019-09-23 DID_1001542 whole_blood 2004-01-12 2010-02-01 uw 0.470677141097483 3
96 41N LID_105281 PID_10123 LID_105281_PID_10123 9.96 -3.39 13.35 M 12610001 6021865 2937533 8621272 10040098 11679340 0.6% 0.4% 0.506624 2019-09-23 DID_1001543 whole_blood 2000-02-04 2010-01-20 uw 0.477546750392803 2
97 95V LID_105282 PID_10123 LID_105282_PID_10123 6.15 -5.485 11.635 F 11180652 5024138 2737765 6908153 7650064 10144403 0.7% 0.5% 0.815984 2019-09-23 DID_1001548 whole_blood 2003-12-08 2010-02-02 uw 0.449360019433572 2
98 42T LID_105292 PID_10123 LID_105292_PID_10123 9.07 -3.445 12.515 M 10764533 5351649 2332338 8159321 7400759 9898843 0.7% 0.5% 0.524697 2019-09-23 DID_1001573 whole_blood 2002-12-28 2012-01-24 uw 0.497155705686443 2
99 80B LID_105300 PID_10123 LID_105300_PID_10123 17.76 -0.425000000000001 18.185 M 9976231 4323958 2631672 5635333 7893029 9206269 0.6% 0.4% 0.485433 2019-09-23 DID_1001584 whole_blood 1994-04-19 2012-01-23 uw 0.433426010283844 2
100 T84 LID_105309 PID_10123 LID_105309_PID_10123 21.91 -0.995000000000001 22.905 F 9246179 4505080 1810466 7110202 8248909 8742089 0.6% 0.4% 0.780684 2019-09-23 DID_1001600 whole_blood 1990-02-20 2012-01-18 uw 0.487236944039262 2
101 78B LID_105311 PID_10123 LID_105311_PID_10123 18 -0.945 18.945 M 9316606 3900877 2451316 5730421 7260465 8993034 0.6% 0.4% 0.470345 2019-09-23 DID_1001602 whole_blood 1994-01-19 2012-01-19 uw 0.418701509970476 2
102 80S LID_105326 PID_10123 LID_105326_PID_10123 9.3 -2.19333333333333 11.4933333333333 F 10498080 4887324 2451689 7233812 8725466 9882722 0.6% 0.4% 0.773352 2019-09-23 DID_1001629 whole_blood 2002-11-12 2012-02-29 uw 0.465544556718943 3
